"houseID","totalPrice","date"
"103101524313","84","2019-01-01 17:14:21"
"103101527967","60","2019-02-02 21:51:48"
"103101528185","1040","2019-02-02 21:48:07"
"103101531047","360","2019-02-02 21:52:04"
"103101531615","320","2019-02-02 21:53:03"
"103101532783","470","2019-02-02 22:01:43"
"103101536280","105","2019-02-02 21:53:39"
"103101536328","98","2019-02-02 21:53:49"
"103101536347","105","2019-01-01 17:12:56"
"103101536363","98","2019-02-02 21:53:49"
"103101536432","213.4","2019-01-01 17:12:56"
"103101536638","800","2019-02-02 21:50:47"
"103101538104","250","2019-02-02 21:57:10"
"103101538172","591","2019-02-02 21:57:37"
"103101538682","619","2019-02-02 21:50:34"
"103101541716","785","2019-01-01 17:09:04"
"103101542975","375","2019-02-02 22:03:09"
"103101551267","330","2019-02-02 22:01:58"
"103101556784","445","2019-02-02 21:57:13"
"103101557208","760","2019-02-02 21:50:30"
"103101558339","500","2019-02-02 21:57:25"
"103101558672","255","2019-02-02 21:53:31"
"103101559054","398","2019-02-02 21:57:37"
"103101559502","355","2019-02-02 22:02:00"
"103101559742","398","2019-02-02 21:52:02"
"103101559790","560","2019-02-02 21:53:11"
"103101561838","170","2019-01-01 17:22:33"
"103101561883","605","2019-02-02 21:57:27"
"103101561883","620","2019-01-01 17:16:08"
"103101562408","430","2019-02-02 21:57:50"
"103101564505","570","2019-02-02 21:59:54"
"103101566818","125","2019-02-02 21:51:46"
"103101568960","112","2019-02-02 21:53:59"
"103101569623","220","2019-02-02 21:59:52"
"103101570268","220","2019-02-02 21:59:12"
"103101573807","1400","2019-02-02 22:02:01"
"103101577992","192","2019-02-02 21:50:38"
"103101577992","200","2019-01-01 17:09:18"
"103101578992","260","2019-02-02 21:54:18"
"103101580215","750","2019-02-02 22:00:45"
"103101580230","200","2019-02-02 22:00:01"
"103101580826","620","2019-02-02 22:03:07"
"103101581356","282","2019-01-01 17:09:10"
"103101581870","165","2019-02-02 21:53:17"
"103101581870","167","2019-01-01 17:12:32"
"103101582531","62","2019-02-02 21:57:35"
"103101583025","928","2019-02-02 21:48:27"
"103101584015","330","2019-02-02 21:50:45"
"103101584224","650","2019-02-02 21:59:02"
"103101584939","300","2019-01-01 17:16:24"
"103101584974","750","2019-02-02 21:59:57"
"103101585021","920","2019-02-02 22:03:17"
"103101586186","570","2019-02-02 21:50:34"
"103101586186","580","2019-01-01 17:09:18"
"103101587328","233","2019-01-01 17:10:34"
"103101587805","760","2019-02-02 21:50:57"
"103101588600","1420","2019-02-02 21:53:47"
"103101590251","479","2019-02-02 22:01:43"
"103101592361","380","2019-02-02 21:57:19"
"103101592381","700","2019-02-02 21:59:28"
"103101592585","480","2019-02-02 22:02:03"
"103101592593","610","2019-02-02 22:02:05"
"103101596685","230","2019-02-02 21:51:44"
"103101596830","500","2019-02-02 21:50:59"
"103101599382","650","2019-02-02 21:50:32"
"103101599999","670","2019-02-02 22:01:23"
"103101601348","750","2019-02-02 21:57:25"
"103101601579","1380","2019-01-01 17:10:36"
"103101603233","275","2019-02-02 21:53:17"
"103101605134","270","2019-02-02 21:53:29"
"103101605411","325","2019-02-02 21:59:14"
"103101606825","290","2019-01-01 17:16:20"
"103101607267","618","2019-02-02 21:51:56"
"103101610442","650","2019-02-02 21:59:30"
"103101610622","415","2019-02-02 21:48:53"
"103101612571","830","2019-02-02 21:48:17"
"103101618161","450","2019-02-02 21:50:30"
